terms,valence,arousal
"['great', 'song']",4.374800759013283,7.54695652173913
"['political', 'alive']",4.728628571428571,5.087272727272728
"['nice', 'came', 'still', 'dumb', 'smart']",4.415059710322561,5.557238152288166
"['believe', 'good', 'two', 'demons']",4.208477669068965,6.324868989111625
"['feel', 'bad', 'really', 'socialism']",4.555184901155295,5.133682058901994
"['watching', 'miss']",4.183742203742204,4.898245614035087
"['people', 'comments', 'crying', 'last', 'hope', 'sits', 'home', 'sitting', 'fat', 'stack', 'campaign']",4.9646394173757304,5.310395260087482
"['wise', 'man', 'fall', 'list']",5.0930210568066245,5.691141362360476
"['sad', 'see', 'rats', 'like', 'president']",3.9156444871107534,4.640861249753134
"['time', 'watch', 'get', 'emotional', 'miss']",5.451361660263957,4.613757275094263
"['cry', 'spineless', 'sellout', 'supports', 'bid', 'white', 'house', 'used', 'support']",4.275310961719726,5.177573178759724
"['please', 'come', 'back']",4.674668452779639,5.7389318835945
"['remember', 'days', 'cried', 'watching', 'video', 'knew', 'hopeful', 'future', 'man', 'president', 'cry', 'watching', 'video', 'hope', 'gone']",5.039213870859153,5.708396003790867
"['believe', 'wont', 'become', 'president', 'people', 'want', 'loves']",4.663636158845618,6.057148774440546
"['watching', 'felt', 'missed', 'great', 'opportunity']",4.615809457247503,5.763971016053054
"['watching', 'first', 'circus', 'chance', 'choice', 'buffoon', 'criminal', 'know', 'brain', 'look', 'like']",4.675732604155747,5.524239851961506
"['great', 'political']",3.927351778656126,5.613488372093023
"['one', 'magnificent', 'human', 'back', 'go', 'jail', 'last', 'best', 'hope', 'country', 'damn', 'easily', 'stand', 'love', 'man', 'stands', 'deserve', 'better']",4.512862176313581,5.963534324038526
"['member', 'member']",5.54,5.94
"['god', 'damn', 'song', 'picture', 'john', 'imagine', 'makes', 'cry', 'please', 'go', 'way', 'make', 'vice', 'president']",4.831434318007475,5.611215051102054
"['come', 'back', 'video', 'cry']",4.709590787700365,5.462568892325383
"['give', 'hope']",4.8892047713717695,7.632527075812274
"['hold', 'back', 'hope', 'last', 'hope', 'achieve', 'beneficial', 'people', 'chance', 'threw', 'us', 'fraud', 'going', 'primary', 'lost', 'one', 'thrive', 'name']",4.918795193537849,5.600091730971255
"['fever', 'watching', 'hear', 'fault', 'genuine', 'person', 'run', 'president']",4.070515140148099,5.62271692379454
"['politician', 'liked', 'got', 'excited', 'involved', 'politics']",5.33799303513524,6.0540586130055845
"['video', 'lots', 'white', 'politically', 'correct']",4.169123042658294,5.938553996221794
"['thank', 'help', 'support', 'done', 'good', 'please', 'text', 'friends', 'family']",4.178868154288876,7.190799847700604
"['depressing', 'watch']",4.620386740331492,3.1985826771653545
"['liar', 'style', 'substance', 'brain', 'dead', 'scared', 'man', 'consistent', 'time', 'office']",5.154392705190204,4.657992689841562
"['submitted', 'sucking']",4.968939051918737,5.176303630363036
"['whole', 'believing', 'message', 'consequence']",4.283402340781079,5.503708054813579
"['ready', 'come', 'back', 'look', 'us']",4.366852804051039,5.989123121418618
"['gets', 'time']",5.576709956709957,5.454814814814815
"['drive', 'amazing', 'person', 'amazing', 'brain']",4.6271628430611,6.940146637623889
"['person', 'open', 'close', 'red', 'love', 'politics', 'lot', 'admit', 'back', 'first', 'came', 'liked', 'lot', 'thought', 'best', 'campaign']",4.945319001470388,6.135961970661484
"['pistol', 'friend', 'like']",4.851569966047762,6.2476357712670385
"['chair', 'federal', 'last', 'united', 'great', 'believed', 'true', 'democracy', 'done', 'best', 'corrupt', 'governments', 'history', 'lead', 'example', 'unite', 'political', 'better', 'conflicts', 'foundation', 'destroyed', 'outside', 'service', 'cleans', 'house', 'better', 'seeing', 'filth', 'built', 'went', 'words', 'ignorance', 'look', 'know']",4.697111733989791,5.599139413147459
"['become', 'campaign']",5.25539534883721,5.844651162790697
"['come', 'pick']",4.721061571125266,5.708324873096447
"['moved', 'president']",4.059027149321267,5.356119402985074
"['polls', 'option']",3.6765645514223197,5.891317829457364
"['young', 'people', 'even', 'liking', 'stuff', 'social']",4.904880203057152,6.368200217498505
"['cock', 'put', 'trust', 'wasted', 'time', 'money', 'pissed']",5.186945223389582,4.580229987629842
"['sad', 'disappointed', 'really', 'want', 'someone', 'follow', 'legacy', 'hope', 'kids', 'get', 'politics', 'even', 'wife', 'best', 'president', 'see', 'lifetime']",4.195565375347181,5.657722651124525
"['believed', 'look', 'despair', 'country', 'heads', 'old', 'crap', 'feels', 'like', 'even', 'fighting']",4.687531901249275,5.339614570431382
"['genuine', 'beautiful', 'one', 'political', 'touches', 'heart', 'united', 'become', 'superficial', 'wasteland', 'empty', 'suits', 'heart', 'soul', 'watching', 'beautiful', 'lost', 'great', 'man', 'president', 'song', 'beauty', 'dream', 'still', 'believe', 'real', 'president', 'even', 'great', 'duck', 'man']",4.334108497026469,6.071310634846891
"['rip', 'dream', 'make', 'terrible', 'presidents']",4.0915038604281815,4.658730965854784
"['knows', 'run']",5.8100000000000005,6.233478260869565
"['racist', 'shady']",4.529372469635628,2.8424858757062146
"['get', 'slapped', 'socialism', 'welcome', 'fuck']",4.937197336432977,5.132755744423941
"['living', 'president', 'people', 'supporters', 'party', 'moved', 'right', 'suggesting', 'people', 'full', 'red', 'blue', 'blue', 'light', 'blue', 'still', 'blue', 'supported']",5.047095238018208,6.140905156167162
